seccion,variable,valor
punto_operacion,presion_objetivo_pa,882.5985
punto_operacion,caudal_m3_h,10800.0
punto_operacion,velocidad_ojos_m_s,7.773135193743362
rodete,u1_m_s,29.373891311064565
rodete,cm1_m_s,9.248018349760791
rodete,beta1_grados,17.475984929907526
rodete,factor_bloqueo_1,0.8802878084062852
rodete,u2_m_s,34.55751918948772
rodete,cm2_m_s,7.187919158863527
rodete,cu2_m_s,37.5091524458879
rodete,factor_bloqueo_2,0.9626958764411466
rodete,factor_deslizamiento,0.9397699264445112
rodete,presion_euler_pa,1555.4679065162295
rodete,coeficiente_flujo_cm2_u2,0.20799870266873982
rodete,coeficiente_presion_estatica,0.6158810241112388
potencias,potencia_util_aire_kw,2.6477954999999995
potencias,potencia_euler_kw,4.666403719548689
potencias,potencia_eje_euler_kw,4.860837207863217
potencias,eficiencia_estatica_estimada,0.5447200526931343
potencias,potencia_motor_kw,5.5
potencias,margen_motor_relativo,0.13149232628133078
mecanica,torque_nominal_nm,42.197796501623884
mecanica,torque_diseno_nm,63.296694752435826
mecanica,diametro_minimo_torsion_mm,22.06700004555402
mecanica,diametro_eje_recomendado_mm,30.0
voluta,area_salida_m2,0.2
voluta,ancho_interior_m,0.28
voluta,altura_salida_m,0.7142857142857143
voluta,holgura_lengua_m,0.048
